,Name,Rat,Position,Version,Price,Skils,Weak_Foot,WR,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Height,Popularity,Base_Stats,Game_Stats,Agility,Balance,Marking,Positioning,Sprint_Speed,Vision,Finishing
0,Lionel Messi,93,CF,,1.2M,4,3,M \ L,93,89,86,96,27,62,"169cm | 5'6""",0,453,-,94,95,25,92,90,90,94
1,Cristiano Ronaldo,92,LW,,1.6M,5,4,H \ L,93,93,81,91,32,79,"185cm | 6'0""",0,469,-,93,63,22,91,94,81,95
2,Zlatan Ibrahimovic,90,ST,,153K,4,4,M \ L,76,91,81,86,34,86,"195cm | 6'4""",0,454,-,86,41,25,86,77,83,91
3,Arjen Robben,90,RM,,113K,4,2,H \ L,93,86,83,92,32,64,"180cm | 5'10""",0,450,-,93,91,29,89,93,84,85
4,Manuel Neuer,90,GK,,48.25K,1,4,M \ M,87,85,92,86,58,90,"193cm | 6'3""",0,498,-,43,35,25,25,61,20,25
5,Luis Suárez,89,ST,,129K,4,4,H \ M,83,87,79,88,42,79,"181cm | 5'11""",0,458,-,86,60,30,88,79,84,91
6,Iniesta,89,CM,,4.1K,4,4,H \ M,75,72,89,91,59,63,"170cm | 5'6""",0,449,-,83,86,57,87,75,93,73
7,Falcao,88,ST,,3.4K,4,4,H \ M,77,86,64,81,40,73,"177cm | 5'9""",0,421,-,,,,,,,
8,Robin van Persie,88,ST,,3.5K,4,4,M \ L,74,90,82,83,33,68,"187cm | 6'1""",0,430,-,80,59,23,90,74,82,91
9,Eden Hazard,88,LM,,56.5K,4,4,H \ M,89,82,84,91,32,64,"173cm | 5'8""",0,442,-,92,90,25,84,87,86,83
10,Franck Ribéry,88,LM,,47.25K,5,4,H \ M,89,78,85,92,29,62,"170cm | 5'6""",0,435,-,92,92,25,83,87,88,79
11,Bastian Schweinsteiger,88,CM,,5K,3,3,H \ H,61,81,85,82,78,80,"183cm | 6'0""",0,467,-,74,75,69,82,64,86,76
12,Bastian Schweinsteiger,88,CM,,0,3,3,H \ H,61,81,85,82,78,80,"183cm | 6'0""",0,467,-,74,75,69,82,64,86,76
13,Falcao,88,ST,,3.6K,4,4,H \ M,77,86,64,81,40,73,"177cm | 5'9""",0,421,-,85,75,25,92,75,68,91
14,Robin van Persie,88,ST,,3.4K,4,4,M \ L,74,90,82,83,33,68,"187cm | 6'1""",0,430,-,80,59,23,90,74,82,91
15,Robert Lewandowski,87,ST,,16.25K,4,4,H \ M,81,84,74,85,39,78,"184cm | 6'0""",0,441,-,80,81,25,87,81,78,87
16,Luka Modric,87,CM,,5.2K,4,4,H \ M,76,74,85,89,71,70,"174cm | 5'8""",0,465,-,93,94,69,79,74,89,71
17,David Silva,87,LM,,2K,4,2,H \ L,76,77,86,89,33,57,"170cm | 5'6""",0,418,-,93,88,23,84,71,90,76
18,Thiago Silva,87,CB,,12.25K,3,3,M \ H,78,57,72,72,90,80,"183cm | 6'0""",0,449,-,75,68,90,59,80,74,38
19,Sergio Ramos,87,CB,,32.25K,3,3,H \ M,79,60,71,66,87,82,"183cm | 6'0""",0,445,-,84,60,85,52,79,63,59
20,Gareth Bale,87,RM,,129K,4,3,H \ M,94,83,83,84,63,81,"183cm | 6'0""",0,488,-,77,65,60,83,95,79,81
21,Philipp Lahm,87,CDM,,800,3,3,H \ H,76,56,84,83,87,67,"170cm | 5'6""",0,453,-,83,92,87,69,76,84,47
22,Sergio Agüero,87,ST,,48.25K,4,4,H \ L,89,87,78,89,29,68,"172cm | 5'7""",0,440,-,87,91,26,88,85,84,90
23,Neymar,87,LW,,68.5K,5,5,H \ M,90,82,73,93,30,59,"175cm | 5'8""",0,427,-,93,85,21,89,89,73,87
24,Edinson Cavani,86,ST,,850,3,3,M \ M,79,85,70,80,41,82,"184cm | 6'0""",0,437,-,83,59,24,85,82,75,89
25,James Rodríguez,86,CAM,,3.9K,4,3,M \ M,80,80,84,85,40,72,"180cm | 5'10""",0,441,-,84,74,25,80,79,87,80
26,Neymar,86,LW,,60.5K,5,5,H \ M,90,80,72,92,30,58,"175cm | 5'8""",0,422,-,92,84,21,87,89,72,85
27,Hummels,86,CB,,800,2,3,H \ M,66,59,75,71,88,78,"192cm | 6'3""",0,437,-,64,59,84,56,68,78,57
28,Mesut Özil,86,CAM,,800,4,2,M \ L,75,74,86,87,27,58,"183cm | 6'0""",0,407,-,84,78,22,84,71,92,74
29,Thomas Müller,86,RM,,950,3,4,H \ H,81,84,82,80,46,72,"186cm | 6'1""",0,445,-,78,73,32,94,83,85,88
30,Marco Reus,86,LM,,14.25K,4,4,H \ M,91,86,84,86,33,65,"181cm | 5'11""",0,445,-,89,82,25,87,92,85,85
31,Ángel Di María,86,CAM,,16.25K,4,2,H \ H,90,79,83,87,57,71,"180cm | 5'10""",0,467,-,90,79,42,84,90,83,75
32,Sergio Agüero,86,ST,,50K,4,4,H \ L,88,86,77,88,28,66,"172cm | 5'7""",0,433,-,86,90,25,87,84,83,89
33,Wayne Rooney,86,ST,,6.2K,3,4,H \ H,76,87,82,83,44,87,"176cm | 5'9""",0,459,-,77,77,29,85,77,83,86
34,Yaya Touré,86,CM,,33.25K,3,4,M \ M,76,82,81,79,80,90,"189cm | 6'2""",0,488,-,64,59,74,81,78,85,82
35,Xavi,86,CM,,950,3,3,M \ M,66,72,91,85,60,58,"170cm | 5'6""",0,432,-,79,90,55,83,65,94,74
36,Vincent Kompany,86,CB,,8.1K,2,3,M \ M,73,56,69,67,87,81,"192cm | 6'3""",0,433,-,63,42,85,41,77,59,45
37,Thibaut Courtois,86,GK,,10.25K,1,3,M \ M,84,87,69,88,46,86,"199cm | 6'6""",0,460,-,61,45,25,25,52,25,25
38,Jérôme Boateng,86,CB,,8.1K,3,4,M \ M,79,50,68,70,84,82,"192cm | 6'3""",0,433,-,65,54,83,47,87,54,34
39,Mario Götze,86,CAM,,3.4K,4,4,M \ M,80,76,83,90,36,63,"176cm | 5'9""",0,428,-,88,86,26,86,79,87,81
40,Diego Costa,86,ST,,800,3,4,H \ M,83,85,64,80,40,88,"188cm | 6'2""",0,440,-,64,63,28,89,86,75,92
41,Ángel Di María,86,CAM,,0,4,2,H \ H,90,79,83,87,57,71,"180cm | 5'10""",0,467,-,90,79,42,84,90,83,75
42,Arturo Vidal,85,CM,,0,3,4,H \ H,79,78,80,81,81,83,"180cm | 5'10""",0,482,-,79,78,75,79,77,80,78
43,Javi Martinez,85,CB,,800,2,3,M \ M,53,61,72,68,84,85,"190cm | 6'2""",0,423,-,59,57,79,57,55,77,55
44,Sergio Busquets,85,CDM,,800,3,3,M \ M,56,59,78,75,81,80,"189cm | 6'2""",0,429,-,57,55,78,77,54,85,60
45,Jérôme Boateng,85,CB,,6.5K,3,4,M \ M,77,50,66,69,83,82,"192cm | 6'3""",0,427,-,64,53,82,47,85,52,34
46,Juan Mata,85,CAM,,800,4,3,M \ M,74,75,84,87,31,60,"174cm | 5'8""",0,411,-,90,89,25,84,66,88,77
47,Karim Benzema,85,ST,,3K,4,4,M \ L,84,84,75,82,30,74,"184cm | 6'0""",0,429,-,79,71,25,87,84,81,88
48,Carlos Tévez,85,ST,,950,3,3,H \ H,86,86,78,87,46,84,"173cm | 5'8""",0,467,-,83,90,35,87,85,83,87
49,Mario Götze,85,CAM,,3.5K,4,4,M \ M,80,74,82,89,35,63,"176cm | 5'9""",0,423,-,87,85,25,84,79,86,79
50,Diego Costa,85,ST,,800,3,4,H \ M,82,83,63,79,40,88,"188cm | 6'2""",0,435,-,63,62,28,87,85,74,90
51,Toni Kroos,85,CM,,900,3,5,M \ M,58,81,89,84,58,69,"182cm | 5'11""",0,439,-,75,78,44,75,54,88,76
52,Arturo Vidal,85,CM,,2.4K,3,4,H \ H,79,78,80,81,81,83,"180cm | 5'10""",0,482,-,79,78,75,79,77,80,78
53,Hugo Lloris,85,GK,,3K,1,1,M \ M,86,81,71,88,65,81,"188cm | 6'2""",0,472,-,55,54,25,25,63,25,25
54,Petr Cech,85,GK,,1.6K,1,3,M \ M,83,84,73,84,45,83,"196cm | 6'5""",0,452,-,49,50,25,25,52,25,25
55,Alexis Sánchez,85,RW,,10.25K,4,3,H \ M,88,85,77,88,39,68,"171cm | 5'7""",0,445,-,92,87,30,84,86,80,89
56,De Gea,85,GK,,800,1,3,M \ M,88,79,87,88,53,80,"193cm | 6'3""",0,475,-,57,43,25,25,57,25,25
57,Xabi Alonso,85,CDM,,1.5K,2,4,M \ H,56,73,87,70,79,72,"183cm | 6'0""",0,437,-,58,67,75,82,56,89,60
58,Cesc Fàbregas,85,CM,,950,3,3,H \ M,69,80,90,82,64,65,"179cm | 5'10""",0,450,-,66,78,62,87,69,94,79
59,Petr Cech,85,GK,,4.5K,1,3,M \ M,83,84,73,84,45,83,"196cm | 6'5""",0,452,-,49,50,25,25,52,25,25
60,Carlos Tévez,85,ST,,900,3,3,H \ H,86,86,78,87,46,84,"173cm | 5'8""",0,467,-,83,90,35,87,85,83,87
61,Giorgio Chiellini,84,CB,,1.2K,2,2,M \ H,76,50,55,56,87,86,"186cm | 6'1""",0,410,-,59,60,89,37,79,47,40
62,Andrea Pirlo,84,CM,,1.9K,2,4,L \ M,43,69,91,82,55,59,"177cm | 5'9""",0,399,-,68,81,43,55,33,96,59
63,Arda Turan,84,LM,,1.6K,4,4,H \ H,77,74,83,86,61,72,"177cm | 5'9""",0,453,-,86,85,58,82,73,86,72
64,Xabi Alonso,84,CDM,,1.5K,2,4,M \ H,55,71,86,68,78,72,"183cm | 6'0""",0,430,-,56,65,74,80,55,88,58
65,Cesc Fàbregas,84,CM,,1.9K,3,3,H \ M,68,79,88,81,64,63,"179cm | 5'10""",0,443,-,65,77,62,86,68,92,78
66,Pique,84,CB,,2K,2,3,H \ M,66,54,69,60,86,76,"192cm | 6'3""",0,411,-,57,44,86,50,71,62,58
67,Sami Khedira,84,CDM,,1.5K,2,4,M \ H,56,69,74,65,83,86,"189cm | 6'2""",0,433,-,52,59,75,66,55,79,62
68,Diego Godín,84,CB,,1.3K,2,3,M \ H,67,48,62,60,86,78,"186cm | 6'1""",0,401,-,62,58,86,48,69,52,42
69,Medhi Benatia,84,CB,,800,2,3,H \ H,75,45,54,64,88,84,"188cm | 6'2""",0,410,-,69,48,88,39,75,47,49
70,Santi Cazorla,84,LM,,1.2K,4,5,M \ M,73,78,85,87,31,61,"168cm | 5'6""",0,415,-,86,91,22,82,68,85,77
71,Samir Nasri,84,LM,,1.3K,4,4,H \ M,78,76,84,86,39,60,"175cm | 5'8""",0,423,-,82,92,35,81,77,85,76
72,Alexis Sánchez,84,RW,,10.25K,4,3,H \ M,88,82,75,87,39,66,"171cm | 5'7""",0,437,-,91,86,30,81,86,78,86
73,Oscar,84,CAM,,800,4,3,M \ H,81,75,80,85,43,44,"179cm | 5'10""",0,408,-,86,80,37,81,79,85,75
74,Wesley Sneijder,84,CAM,,900,3,5,M \ M,75,80,87,84,48,63,"170cm | 5'6""",0,437,-,82,85,42,75,75,90,76
75,Daniele De Rossi,84,CDM,,850,2,4,M \ H,69,71,79,75,82,84,"185cm | 6'0""",0,460,-,69,69,75,68,69,79,63
76,Klaas-Jan Huntelaar,84,ST,,1K,3,4,M \ M,68,85,64,72,32,73,"187cm | 6'1""",0,394,-,65,62,20,88,69,61,88
77,Gonzalo Higuaín,84,ST,,1.2K,3,4,H \ M,81,84,68,80,30,71,"184cm | 6'0""",0,414,-,72,60,25,87,82,70,89
78,Iker Casillas,84,GK,,2.5K,1,2,M \ M,87,79,67,88,65,79,"185cm | 6'0""",0,465,-,62,46,25,25,63,25,25
79,Salvatore Sirigu,84,GK,,1.9K,1,2,M \ M,85,79,73,87,50,84,"192cm | 6'3""",0,458,-,52,55,25,25,51,25,25
80,Samir Handanovic,84,GK,,1.2K,1,2,M \ M,87,82,65,86,58,84,"193cm | 6'3""",0,462,-,49,41,25,25,58,25,25
81,Stéphane Ruffier,84,GK,,1K,1,3,M \ M,83,82,77,86,55,84,"188cm | 6'2""",0,467,-,54,55,25,25,54,25,25
82,Paul Pogba,84,CM,,5.1K,4,4,H \ M,77,79,80,85,73,88,"186cm | 6'1""",0,482,-,81,61,63,78,78,84,71
83,Christian Eriksen,84,CAM,,1.1K,4,5,H \ M,82,74,84,83,47,56,"177cm | 5'9""",0,426,-,78,79,42,75,79,86,72
84,Isco,84,CAM,,1.7K,4,3,H \ L,77,77,84,87,33,63,"176cm | 5'9""",0,421,-,87,85,26,80,75,87,77
85,Sami Khedira,84,CDM,,950,2,4,M \ H,56,69,74,65,83,86,"189cm | 6'2""",0,433,-,52,59,75,66,55,79,62
86,Andrea Pirlo,84,CM,,800,2,4,L \ M,43,69,91,82,55,59,"177cm | 5'9""",0,399,-,68,81,43,55,33,96,59
87,Arda Turan,84,RM,,2.6K,4,4,H \ H,77,74,83,86,61,72,"177cm | 5'9""",0,453,-,86,85,58,82,73,86,72
88,Iker Casillas,84,GK,,2.7K,1,2,M \ M,87,79,67,88,65,79,"185cm | 6'0""",0,465,-,62,46,25,25,63,25,25
89,Miralem Pjanic,83,CM,,1.1K,3,4,M \ M,72,75,85,84,63,66,"180cm | 5'10""",0,445,-,76,70,57,77,72,88,70
90,Juan Cuadrado,83,RM,,3.1K,5,3,H \ M,93,77,76,87,57,71,"176cm | 5'9""",0,461,-,90,77,54,78,94,68,75
91,Paul Pogba,83,CM,,6.8K,4,4,H \ M,76,78,79,83,73,88,"186cm | 6'1""",0,477,-,79,60,63,77,77,83,70
92,Pepe,83,CB,,1.5K,2,3,M \ H,73,50,58,59,84,83,"188cm | 6'2""",0,407,-,67,58,82,40,77,58,46
