,Name,Rat,Position,Version,Price,Skils,Weak_Foot,WR,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Height,Popularity,Base_Stats,Game_Stats,Age,Weight,Aggression,Balance,Ball_Control,Jumping,Long_Passing,Stamina
0,Messi,94,RW,,296K,4,4,M \ L,92,88,86,95,24,62,"170cm | 5'6""",6,447,-,34,72kg,48,95,96,68,79,76
1,Cristiano Ronaldo,93,LW,,410K,5,4,H \ L,92,93,80,90,33,78,"185cm | 6'0""",7,466,-,36,80kg,62,62,91,94,72,87
2,Cristiano Ronaldo,93,ST,,890K,5,4,H \ L,92,93,80,90,33,78,"185cm | 6'0""",1,466,-,36,80kg,62,62,91,94,72,87
3,Robben,90,RM,,58K,4,2,H \ L,92,86,82,92,32,64,"180cm | 5'10""",0,448,-,37,80kg,47,91,90,61,74,76
4,Neuer,90,GK,,35.75K,1,4,M \ M,85,87,91,86,58,90,"193cm | 6'3""",0,497,-,35,92kg,29,35,31,78,41,44
5,Suárez,90,ST,,103K,4,4,H \ M,82,88,79,88,42,79,"182cm | 5'11""",3,458,-,34,85kg,78,60,91,69,64,86
6,Neymar,90,LW,,78K,5,5,H \ M,90,83,75,93,30,58,"174cm | 5'8""",0,429,-,29,68kg,56,84,90,61,75,86
7,Ibrahimovic,89,ST,,28.75K,4,4,M \ L,73,90,81,85,31,86,"195cm | 6'4""",0,446,-,40,95kg,84,41,90,72,76,75
8,Hazard,89,LM,,46.25K,4,4,H \ M,90,82,84,92,32,64,"173cm | 5'8""",1,444,-,30,74kg,54,90,90,59,82,74
9,Ibrahimovic,89,ST,,130K,4,4,M \ L,73,90,81,85,31,86,"195cm | 6'4""",1,446,-,40,95kg,84,41,90,72,76,75
10,Iniesta,88,CM,,9.6K,4,4,H \ M,75,72,87,90,59,63,"171cm | 5'7""",0,446,-,37,68kg,58,86,92,54,86,78
11,Thiago Silva,88,CB,,5.8K,3,3,H \ H,74,57,73,73,90,79,"183cm | 6'0""",0,446,-,37,79kg,77,68,80,93,81,74
12,David Silva,88,CAM,,7.4K,4,2,H \ L,73,74,89,89,32,58,"170cm | 5'6""",0,415,-,35,67kg,51,88,91,66,85,68
13,Neymar,88,LW,,74K,5,5,H \ M,90,80,72,92,30,58,"174cm | 5'8""",3,422,-,29,68kg,56,84,90,61,72,86
14,Agüero,88,ST,,45K,4,4,H \ M,89,88,78,89,23,70,"172cm | 5'7""",2,437,-,33,74kg,58,90,89,78,63,71
15,Lewandowski,88,ST,,16K,3,4,M \ M,80,87,74,85,39,81,"185cm | 6'0""",0,446,-,33,79kg,81,78,88,84,65,79
16,Özil,88,CAM,,9.7K,4,2,M \ L,72,75,89,87,24,57,"183cm | 6'0""",0,404,-,33,76kg,54,70,91,52,83,64
17,David Silva,88,RW,,17.5K,4,2,H \ L,73,74,89,89,32,58,"170cm | 5'6""",0,415,-,35,67kg,51,88,91,66,85,68
18,Lahm,87,CDM,,4.6K,3,3,M \ H,75,56,84,85,87,66,"170cm | 5'6""",0,453,-,38,66kg,58,93,87,72,84,84
19,Chiellini,87,CB,,5.8K,2,2,L \ H,77,47,56,58,90,84,"186cm | 6'1""",0,412,-,37,76kg,88,69,53,89,65,69
20,Agüero,87,ST,,41K,4,4,H \ M,89,87,77,89,23,68,"172cm | 5'7""",1,433,-,33,74kg,57,90,89,76,63,69
21,Sergio Ramos,87,CB,,18K,3,3,H \ M,79,60,71,66,87,81,"183cm | 6'0""",1,444,-,35,75kg,83,60,83,91,70,81
