,Position,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Agility,Balance,Marking,Positioning,Sprint_Speed,Vision,Finishing,Player_Height
0,1,93,89,86,96,27,62,94,95,25,92,90,90,94,169
1,2,93,93,81,91,32,79,93,63,22,91,94,81,95,185
2,1,76,91,81,86,34,86,86,41,25,86,77,83,91,195
3,2,93,86,83,92,32,64,93,91,29,89,93,84,85,180
5,1,83,87,79,88,42,79,86,60,30,88,79,84,91,181
6,3,75,72,89,91,59,63,83,86,57,87,75,93,73,170
8,1,74,90,82,83,33,68,80,59,23,90,74,82,91,187
9,2,89,82,84,91,32,64,92,90,25,84,87,86,83,173
10,2,89,78,85,92,29,62,92,92,25,83,87,88,79,170
11,3,61,81,85,82,78,80,74,75,69,82,64,86,76,183
13,1,77,86,64,81,40,73,85,75,25,92,75,68,91,177
15,1,81,84,74,85,39,78,80,81,25,87,81,78,87,184
16,3,76,74,85,89,71,70,93,94,69,79,74,89,71,174
17,2,76,77,86,89,33,57,93,88,23,84,71,90,76,170
18,5,78,57,72,72,90,80,75,68,90,59,80,74,38,183
19,5,79,60,71,66,87,82,84,60,85,52,79,63,59,183
20,2,94,83,83,84,63,81,77,65,60,83,95,79,81,183
21,3,76,56,84,83,87,67,83,92,87,69,76,84,47,170
22,1,89,87,78,89,29,68,87,91,26,88,85,84,90,172
23,2,90,82,73,93,30,59,93,85,21,89,89,73,87,175
24,1,79,85,70,80,41,82,83,59,24,85,82,75,89,184
25,2,80,80,84,85,40,72,84,74,25,80,79,87,80,180
26,2,90,80,72,92,30,58,92,84,21,87,89,72,85,175
27,5,66,59,75,71,88,78,64,59,84,56,68,78,57,192
28,2,75,74,86,87,27,58,84,78,22,84,71,92,74,183
29,2,81,84,82,80,46,72,78,73,32,94,83,85,88,186
30,2,91,86,84,86,33,65,89,82,25,87,92,85,85,181
31,2,90,79,83,87,57,71,90,79,42,84,90,83,75,180
32,1,88,86,77,88,28,66,86,90,25,87,84,83,89,172
33,1,76,87,82,83,44,87,77,77,29,85,77,83,86,176
34,3,76,82,81,79,80,90,64,59,74,81,78,85,82,189
35,3,66,72,91,85,60,58,79,90,55,83,65,94,74,170
36,5,73,56,69,67,87,81,63,42,85,41,77,59,45,192
38,5,79,50,68,70,84,82,65,54,83,47,87,54,34,192
39,2,80,76,83,90,36,63,88,86,26,86,79,87,81,176
40,1,83,85,64,80,40,88,64,63,28,89,86,75,92,188
42,3,79,78,80,81,81,83,79,78,75,79,77,80,78,180
43,5,53,61,72,68,84,85,59,57,79,57,55,77,55,190
44,3,56,59,78,75,81,80,57,55,78,77,54,85,60,189
45,5,77,50,66,69,83,82,64,53,82,47,85,52,34,192
46,2,74,75,84,87,31,60,90,89,25,84,66,88,77,174
47,1,84,84,75,82,30,74,79,71,25,87,84,81,88,184
48,1,86,86,78,87,46,84,83,90,35,87,85,83,87,173
49,2,80,74,82,89,35,63,87,85,25,84,79,86,79,176
50,1,82,83,63,79,40,88,63,62,28,87,85,74,90,188
51,3,58,81,89,84,58,69,75,78,44,75,54,88,76,182
55,2,88,85,77,88,39,68,92,87,30,84,86,80,89,171
57,3,56,73,87,70,79,72,58,67,75,82,56,89,60,183
58,3,69,80,90,82,64,65,66,78,62,87,69,94,79,179
61,5,76,50,55,56,87,86,59,60,89,37,79,47,40,186
62,3,43,69,91,82,55,59,68,81,43,55,33,96,59,177
63,2,77,74,83,86,61,72,86,85,58,82,73,86,72,177
64,3,55,71,86,68,78,72,56,65,74,80,55,88,58,183
65,3,68,79,88,81,64,63,65,77,62,86,68,92,78,179
66,5,66,54,69,60,86,76,57,44,86,50,71,62,58,192
67,3,56,69,74,65,83,86,52,59,75,66,55,79,62,189
68,5,67,48,62,60,86,78,62,58,86,48,69,52,42,186
69,5,75,45,54,64,88,84,69,48,88,39,75,47,49,188
70,2,73,78,85,87,31,61,86,91,22,82,68,85,77,168
71,2,78,76,84,86,39,60,82,92,35,81,77,85,76,175
72,2,88,82,75,87,39,66,91,86,30,81,86,78,86,171
73,2,81,75,80,85,43,44,86,80,37,81,79,85,75,179
74,2,75,80,87,84,48,63,82,85,42,75,75,90,76,170
75,3,69,71,79,75,82,84,69,69,75,68,69,79,63,185
76,1,68,85,64,72,32,73,65,62,20,88,69,61,88,187
77,1,81,84,68,80,30,71,72,60,25,87,82,70,89,184
82,3,77,79,80,85,73,88,81,61,63,78,78,84,71,186
83,2,82,74,84,83,47,56,78,79,42,75,79,86,72,177
84,2,77,77,84,87,33,63,87,85,26,80,75,87,77,176
87,2,77,74,83,86,61,72,86,85,58,82,73,86,72,177
89,3,72,75,85,84,63,66,76,70,57,77,72,88,70,180
90,2,93,77,76,87,57,71,90,77,54,78,94,68,75,176
91,3,76,78,79,83,73,88,79,60,63,77,77,83,70,186
92,5,73,50,58,59,84,83,67,58,82,40,77,58,46,188
93,3,53,50,77,71,79,82,55,64,68,68,52,80,27,183
94,5,69,59,70,69,84,80,72,79,82,51,69,68,51,174
95,4,86,70,79,83,76,68,84,82,66,63,87,67,60,173
96,3,74,75,83,82,71,72,84,85,67,78,69,84,72,171
97,5,52,57,68,64,86,78,57,38,88,49,54,63,48,188
98,5,76,49,56,57,84,79,67,58,86,43,77,53,43,186
99,3,78,67,76,76,84,82,81,79,84,70,79,74,65,175
100,2,69,82,87,81,55,67,72,66,51,80,69,87,80,184
101,1,75,82,61,75,43,87,76,50,25,84,76,53,85,187
102,2,84,76,78,84,37,60,84,82,30,85,83,75,80,169
103,2,76,76,82,86,32,62,86,84,25,79,74,85,76,176
104,3,71,78,79,80,70,77,74,75,65,84,69,81,77,177
105,2,81,72,83,83,47,55,78,79,42,73,78,85,70,177
106,3,80,70,83,86,67,70,86,84,58,73,78,86,65,180
107,2,91,71,78,84,29,53,91,87,27,78,90,79,67,170
108,1,71,84,69,78,36,71,58,59,25,84,72,75,84,193
109,1,89,82,69,81,29,70,78,64,25,84,90,74,85,183
110,2,87,77,80,84,37,76,77,80,25,81,87,79,77,178
112,5,41,47,56,52,84,80,44,46,83,38,47,59,46,187
113,5,34,41,57,48,87,76,29,28,87,43,38,58,36,198
114,2,82,87,79,81,43,86,72,59,33,83,81,76,85,180
115,5,52,39,55,51,84,83,50,47,84,25,55,55,36,190
116,5,75,36,58,59,86,79,59,60,87,37,75,56,30,186
117,2,74,78,82,82,58,71,80,64,56,84,74,83,78,183
118,3,79,76,81,83,74,79,83,78,67,81,79,83,74,179
119,2,85,79,82,84,57,74,78,76,51,77,84,83,72,181
127,4,75,52,76,76,84,83,73,73,84,71,75,70,41,178
129,3,68,70,77,75,82,87,53,53,80,70,69,78,64,194
130,2,87,79,76,85,31,66,87,78,26,85,86,78,84,177
132,2,93,74,78,87,45,65,93,86,40,76,91,78,70,172
133,2,79,81,83,83,42,70,80,78,38,83,80,83,79,181
134,2,86,80,76,84,30,69,89,71,23,89,86,74,83,176
140,4,82,62,76,78,81,77,74,60,83,71,85,70,59,182
141,2,93,73,76,87,44,63,93,86,39,75,91,76,69,172
142,5,77,64,72,72,80,78,75,56,78,49,78,68,56,189
143,3,50,66,78,73,78,84,50,50,72,65,52,77,54,187
144,2,87,76,75,85,32,73,94,92,20,77,88,78,76,173
145,5,55,64,53,54,84,83,44,42,84,33,56,45,50,188
146,1,75,82,60,70,30,79,64,55,25,88,78,62,86,189
147,3,63,83,85,75,70,81,59,60,64,82,64,84,79,183
148,3,71,81,83,84,63,73,78,81,51,77,72,85,76,180
149,3,67,70,76,75,80,85,53,53,78,70,68,77,64,194
150,3,71,74,85,81,65,67,78,78,59,75,68,87,71,175
151,2,85,76,81,84,33,56,84,75,23,82,85,84,79,178
152,4,81,67,73,74,80,82,68,67,76,73,84,66,64,184
153,1,93,82,68,82,38,73,70,70,33,85,94,77,86,178
154,1,84,83,74,84,28,52,84,86,25,87,82,77,85,173
155,2,86,77,74,85,30,65,87,78,25,83,85,76,82,177
156,4,81,67,78,84,77,79,79,84,74,67,83,70,64,174
157,3,78,74,82,81,73,75,79,79,70,68,78,84,70,176
158,2,75,72,85,81,53,73,78,77,50,76,74,88,68,178
159,2,85,77,76,83,30,68,88,70,23,86,85,74,80,176
160,5,64,56,72,71,83,76,68,63,82,44,65,66,48,188
161,5,78,52,61,65,84,82,66,75,85,52,81,55,45,185
162,5,71,57,58,57,83,79,66,66,83,48,75,46,44,193
163,5,66,50,65,65,83,78,65,60,83,51,68,60,53,187
164,2,88,77,80,87,37,53,93,92,30,76,85,82,76,169
165,2,89,73,78,87,50,63,87,82,43,77,86,80,75,175
166,3,74,58,72,73,83,82,73,65,79,51,73,68,45,187
167,1,82,81,66,78,43,85,78,70,27,85,85,71,86,185
168,1,82,82,68,81,30,79,78,54,24,81,82,71,82,188
169,2,87,74,79,83,58,72,83,85,55,80,87,80,70,175
170,5,72,67,74,69,82,81,68,55,79,65,75,72,60,189
171,2,75,73,84,85,39,64,86,84,35,70,74,85,69,173
172,4,74,52,74,75,83,82,72,72,83,71,74,68,41,178
173,4,86,70,81,82,79,72,86,77,78,76,86,77,63,180
174,4,77,74,81,77,80,74,74,85,80,74,79,75,70,170
188,5,82,40,63,65,84,77,70,62,83,31,83,57,32,186
189,1,79,83,79,83,38,72,83,62,27,84,80,81,84,183
190,5,71,57,60,64,85,81,63,65,85,56,66,57,66,183
191,2,85,79,80,86,28,65,92,83,26,82,82,81,75,175
192,1,88,83,72,85,40,75,85,85,31,88,88,79,88,175
193,2,85,79,80,86,28,65,92,83,26,82,82,81,75,175
200,1,67,83,75,75,36,78,63,52,22,83,70,81,83,188
201,5,71,39,50,57,84,81,51,55,85,27,73,47,31,184
202,3,88,69,77,82,79,73,78,80,76,73,90,76,67,180
203,2,93,69,72,83,40,64,88,75,33,81,92,77,73,179
204,1,73,80,74,82,42,75,79,70,31,81,73,76,80,185
205,2,80,72,82,86,42,54,92,91,35,76,76,84,72,167
206,2,86,73,80,83,33,49,91,93,28,76,82,80,71,167
207,1,60,79,57,74,35,85,69,51,23,85,65,59,84,195
208,1,71,77,63,73,32,64,64,61,25,87,70,63,86,184
209,3,76,69,81,84,61,77,83,87,61,80,75,85,64,172
211,1,86,81,69,88,29,55,89,89,21,80,85,62,83,175
212,4,92,69,75,81,78,76,89,87,76,77,92,68,73,170
213,5,76,45,60,62,83,76,53,47,80,44,77,56,40,191
214,1,81,82,63,80,31,69,83,71,25,84,79,66,84,181
215,5,67,29,56,55,83,80,58,56,82,34,69,48,25,189
216,2,88,83,75,83,37,67,85,77,23,80,85,75,81,183
217,3,55,69,84,82,67,59,77,75,58,66,51,84,63,180
218,3,72,72,79,87,57,64,90,87,49,79,68,84,69,172
219,4,73,55,71,74,80,75,77,76,79,60,72,61,42,176
220,2,96,77,75,81,33,64,83,80,27,82,96,76,83,176
221,3,66,56,68,66,84,82,65,62,83,54,66,67,44,185
223,2,81,68,81,87,33,50,91,91,24,76,75,86,66,171
224,1,73,82,59,74,39,85,67,72,25,83,77,65,80,182
225,1,78,82,78,83,38,70,83,62,27,83,79,80,83,183
226,2,86,75,77,85,54,71,88,83,49,81,84,80,74,178
227,2,77,80,80,81,41,69,78,76,37,82,78,80,78,181
228,2,77,77,77,85,33,67,84,78,24,80,77,81,80,181
230,1,76,81,71,82,37,72,83,74,20,84,77,74,82,179
232,3,76,71,76,75,80,86,78,63,76,73,77,74,63,183
233,1,76,81,68,76,42,75,71,71,32,84,76,73,84,179
234,5,39,53,59,53,84,75,34,32,84,36,44,52,45,192
235,5,74,58,52,62,84,76,67,51,82,45,78,56,56,193
236,5,81,40,62,65,82,75,70,62,81,31,82,56,32,186
237,5,63,38,48,54,82,82,62,60,81,33,69,28,35,191
238,2,84,78,79,86,27,64,92,83,25,81,81,80,74,175
239,5,68,33,60,57,80,83,61,55,77,32,68,50,23,187
240,1,66,83,70,69,44,80,60,42,26,86,68,75,88,191
242,4,67,60,63,60,86,83,54,47,86,54,69,56,56,185
243,3,68,72,79,76,75,83,66,62,69,75,69,81,66,186
244,3,68,75,82,78,71,73,78,77,68,70,69,84,70,175
245,3,66,52,76,74,78,78,74,81,75,55,65,77,42,172
249,2,74,76,82,80,34,60,68,64,25,81,80,85,75,186
250,1,79,79,72,80,32,70,74,60,21,81,76,79,78,186
254,3,81,73,78,82,76,82,79,78,75,80,78,82,71,177
255,5,73,57,62,57,83,75,55,42,81,54,78,59,33,198
256,4,81,56,74,73,82,77,75,73,81,64,81,68,46,178
257,3,81,75,77,81,78,81,80,85,73,82,79,75,67,176
258,3,62,75,87,80,59,70,71,72,59,80,63,88,64,180
260,1,86,80,64,76,31,63,79,84,22,87,85,72,88,175
262,3,68,75,82,78,71,73,78,77,68,70,69,84,70,175
267,2,53,72,85,85,28,61,73,72,25,66,51,86,70,182
268,2,89,78,72,82,28,62,83,78,25,85,89,76,77,178
269,4,79,51,71,77,79,78,77,83,77,65,79,62,40,173
270,3,69,67,79,76,74,83,67,66,71,72,69,82,59,188
271,2,87,76,72,84,33,60,84,83,24,79,86,77,77,178
272,3,43,72,83,79,74,66,66,83,73,73,41,80,67,175
273,1,78,80,71,70,33,84,30,34,24,79,81,76,82,194
274,3,71,73,77,83,74,80,87,60,70,75,74,78,71,186
275,1,88,80,55,76,28,83,66,68,25,77,87,56,81,182
276,3,46,84,83,76,62,72,68,56,52,84,55,82,82,184
277,3,79,71,75,84,68,83,82,73,62,70,79,79,65,185
278,5,72,56,61,57,82,74,55,42,80,53,77,58,32,198
279,2,84,74,77,85,27,64,82,79,25,71,83,78,66,175
280,4,79,63,75,77,79,79,71,71,81,74,79,65,58,182
281,5,76,64,66,55,82,81,65,50,81,48,78,42,52,192
282,5,72,59,64,64,80,86,69,69,80,52,76,54,52,187
283,3,67,79,83,75,68,74,71,79,61,78,65,83,76,175
284,2,90,71,76,85,37,39,92,97,38,81,90,76,73,164
285,3,61,71,86,78,58,68,69,70,58,76,62,87,61,180
286,3,77,80,78,81,70,84,78,68,60,81,77,77,77,186
287,2,87,73,71,85,37,63,89,94,33,83,84,71,76,169
288,5,66,51,55,62,84,76,61,63,84,50,61,52,59,183
289,1,86,80,69,79,33,71,82,70,26,85,87,71,81,180
290,2,85,67,78,79,47,75,79,74,42,73,86,78,62,181
291,2,88,77,77,83,47,63,86,74,40,80,87,67,78,178
292,3,64,78,83,79,66,74,75,79,57,70,64,79,70,176
293,1,40,83,87,81,26,69,69,60,25,79,34,90,81,180
294,1,53,78,87,85,28,60,65,82,25,79,52,87,78,175
295,2,93,69,70,84,46,62,88,91,48,75,92,69,71,170
296,2,74,70,81,84,43,67,82,85,32,79,73,83,65,178
297,1,80,81,64,74,33,85,74,48,25,81,81,73,82,190
298,5,76,40,59,63,79,85,62,57,76,38,79,46,26,187
299,1,84,80,65,75,30,81,64,48,25,77,86,69,83,190
302,1,73,83,72,82,32,64,76,75,22,81,72,71,84,175
303,3,77,75,73,77,80,78,70,64,79,81,78,74,75,181
