,Position,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Agility,Balance,Marking,Positioning,Sprint_Speed,Vision,Finishing,Player_Height,attack_contribution
0,1,0.2052980132450331,0.19646799116997793,0.18984547461368653,0.2119205298013245,0.059602649006622516,0.1368653421633554,0.948051948051948,0.9857142857142858,0.18823529411764706,0.9625,0.9,0.925,0.9883720930232558,0.22727272727272727,0.947005414376342
1,2,0.19829424307036247,0.19829424307036247,0.17270788912579957,0.19402985074626866,0.06823027718550106,0.16844349680170576,0.935064935064935,0.5285714285714286,0.15294117647058825,0.95,0.9571428571428572,0.8125,1.0,0.5909090909090909,0.9388454566007778
2,1,0.16740088105726872,0.20044052863436124,0.17841409691629956,0.1894273127753304,0.07488986784140969,0.1894273127753304,0.8441558441558441,0.21428571428571427,0.18823529411764706,0.8875,0.7142857142857143,0.8375,0.9534883720930233,0.8181818181818182,0.8894709283196622
3,2,0.20666666666666667,0.19111111111111112,0.18444444444444444,0.20444444444444446,0.07111111111111111,0.14222222222222222,0.935064935064935,0.9285714285714286,0.23529411764705882,0.925,0.9428571428571428,0.85,0.8837209302325582,0.4772727272727273,0.9198059797400415
4,1,0.1812227074235808,0.18995633187772926,0.17248908296943233,0.19213973799126638,0.09170305676855896,0.17248908296943233,0.8441558441558441,0.4857142857142857,0.24705882352941178,0.9125,0.7428571428571429,0.85,0.9534883720930233,0.5,0.8662422099360811
5,3,0.16703786191536749,0.1603563474387528,0.19821826280623608,0.2026726057906459,0.13140311804008908,0.1403118040089087,0.8051948051948052,0.8571428571428571,0.5647058823529412,0.9,0.6857142857142857,0.9625,0.7441860465116279,0.25,0.7420167188980712
6,1,0.17209302325581396,0.20930232558139536,0.19069767441860466,0.1930232558139535,0.07674418604651163,0.15813953488372093,0.7662337662337663,0.4714285714285714,0.16470588235294117,0.9375,0.6714285714285714,0.825,0.9534883720930233,0.6363636363636364,0.881222617137623
7,2,0.20135746606334842,0.18552036199095023,0.19004524886877827,0.20588235294117646,0.07239819004524888,0.14479638009049775,0.922077922077922,0.9142857142857143,0.18823529411764706,0.8625,0.8571428571428571,0.875,0.8604651162790697,0.3181818181818182,0.9287033547966137
8,2,0.2045977011494253,0.1793103448275862,0.19540229885057472,0.21149425287356322,0.06666666666666667,0.1425287356321839,0.922077922077922,0.9428571428571428,0.18823529411764706,0.85,0.8571428571428571,0.9,0.813953488372093,0.25,0.9329271566003084
9,3,0.13062098501070663,0.1734475374732334,0.18201284796573874,0.17558886509635974,0.1670235546038544,0.17130620985010706,0.6883116883116883,0.7,0.7058823529411765,0.8375,0.5285714285714286,0.875,0.7790697674418605,0.5454545454545454,0.6311836892384989
10,1,0.1828978622327791,0.2042755344418052,0.15201900237529692,0.19239904988123516,0.09501187648456057,0.17339667458432304,0.8311688311688312,0.7,0.18823529411764706,0.9625,0.6857142857142857,0.65,0.9534883720930233,0.4090909090909091,0.8780274342733995
11,1,0.1836734693877551,0.19047619047619047,0.16780045351473924,0.1927437641723356,0.08843537414965986,0.17687074829931973,0.7662337662337663,0.7857142857142857,0.18823529411764706,0.9,0.7714285714285715,0.775,0.9069767441860465,0.5681818181818182,0.8610296768620376
14,5,0.17371937639198218,0.12694877505567928,0.1603563474387528,0.1603563474387528,0.20044543429844097,0.17817371937639198,0.7012987012987013,0.6,0.9529411764705882,0.55,0.7571428571428571,0.725,0.3372093023255814,0.5454545454545454,0.5365042076479938
15,5,0.17752808988764046,0.1348314606741573,0.15955056179775282,0.14831460674157304,0.19550561797752808,0.1842696629213483,0.8181818181818182,0.4857142857142857,0.8941176470588236,0.4625,0.7428571428571429,0.5875,0.5813953488372093,0.5454545454545454,0.5917185876435769
16,2,0.19262295081967212,0.17008196721311475,0.17008196721311475,0.1721311475409836,0.1290983606557377,0.16598360655737704,0.7272727272727273,0.5571428571428572,0.6,0.85,0.9714285714285714,0.7875,0.8372093023255814,0.5454545454545454,0.700710298757538
18,1,0.20227272727272727,0.19772727272727272,0.17727272727272728,0.20227272727272727,0.0659090909090909,0.15454545454545454,0.8571428571428571,0.9285714285714286,0.2,0.9125,0.8285714285714286,0.85,0.9418604651162791,0.29545454545454547,0.9061024932341865
19,2,0.2107728337236534,0.1920374707259953,0.17096018735362997,0.21779859484777517,0.0702576112412178,0.13817330210772832,0.935064935064935,0.8428571428571429,0.1411764705882353,0.925,0.8857142857142857,0.7125,0.9069767441860465,0.36363636363636365,0.9505288432469746
23,5,0.15102974828375287,0.13501144164759726,0.17162471395881007,0.16247139588100687,0.20137299771167047,0.17848970251716248,0.5584415584415584,0.4714285714285714,0.8823529411764706,0.5125,0.5857142857142857,0.775,0.5581395348837209,0.75,0.5136051506830456
24,2,0.18427518427518427,0.18181818181818182,0.2113022113022113,0.21375921375921375,0.06633906633906633,0.14250614250614252,0.8181818181818182,0.7428571428571429,0.15294117647058825,0.8625,0.6285714285714286,0.95,0.7558139534883721,0.5454545454545454,0.9120324818779904
25,2,0.18202247191011237,0.18876404494382024,0.1842696629213483,0.1797752808988764,0.10337078651685393,0.16179775280898875,0.7402597402597403,0.6714285714285714,0.27058823529411763,0.9875,0.8,0.8625,0.9186046511627907,0.6136363636363636,0.823154326748228
26,2,0.20449438202247192,0.19325842696629214,0.18876404494382024,0.19325842696629214,0.07415730337078652,0.14606741573033707,0.8831168831168831,0.8,0.18823529411764706,0.9,0.9285714285714286,0.8625,0.8837209302325582,0.5,0.9152449936376451
