,Rat,Position,Skils,Weak_Foot,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Age,Weight,Aggression,Balance,Ball_Control,Jumping,Long_Passing,Stamina,Player_Height
0,94,RW,4,4,92,88,86,95,24,62,34,72,48.0,95.0,96.0,68.0,79.0,76.0,170
1,93,LW,5,4,92,93,80,90,33,78,36,80,62.0,62.0,91.0,94.0,72.0,87.0,185
2,93,ST,5,4,92,93,80,90,33,78,36,80,62.0,62.0,91.0,94.0,72.0,87.0,185
3,90,RM,4,2,92,86,82,92,32,64,37,80,47.0,91.0,90.0,61.0,74.0,76.0,180
5,90,ST,4,4,82,88,79,88,42,79,34,85,78.0,60.0,91.0,69.0,64.0,86.0,182
6,90,LW,5,5,90,83,75,93,30,58,29,68,56.0,84.0,90.0,61.0,75.0,86.0,174
7,89,ST,4,4,73,90,81,85,31,86,40,95,84.0,41.0,90.0,72.0,76.0,75.0,195
8,89,LM,4,4,90,82,84,92,32,64,30,74,54.0,90.0,90.0,59.0,82.0,74.0,173
10,88,CM,4,4,75,72,87,90,59,63,37,68,58.0,86.0,92.0,54.0,86.0,78.0,171
11,88,CB,3,3,74,57,73,73,90,79,37,79,77.0,68.0,80.0,93.0,81.0,74.0,183
12,88,CAM,4,2,73,74,89,89,32,58,35,67,51.0,88.0,91.0,66.0,85.0,68.0,170
13,88,LW,5,5,90,80,72,92,30,58,29,68,56.0,84.0,90.0,61.0,72.0,86.0,174
14,88,ST,4,4,89,88,78,89,23,70,33,74,58.0,90.0,89.0,78.0,63.0,71.0,172
15,88,ST,3,4,80,87,74,85,39,81,33,79,81.0,78.0,88.0,84.0,65.0,79.0,185
16,88,CAM,4,2,72,75,89,87,24,57,33,76,54.0,70.0,91.0,52.0,83.0,64.0,183
17,88,RW,4,2,73,74,89,89,32,58,35,67,51.0,88.0,91.0,66.0,85.0,68.0,170
18,87,CDM,3,3,75,56,84,85,87,66,38,66,58.0,93.0,87.0,72.0,84.0,84.0,170
19,87,CB,2,2,77,47,56,58,90,84,37,76,88.0,69.0,53.0,89.0,65.0,69.0,186
20,87,ST,4,4,89,87,77,89,23,68,33,74,57.0,90.0,89.0,76.0,63.0,69.0,172
